,User_ID,Event Watched,User Rating,Activity Type/Genre
0,User_ID1,93fbdb91dbbb241c706203da7fa4c08b,['thumbs down'],"Concert, Concert Band"
1,User_ID1,f798cf945df3c3fd2d8fc1df821e8c1a,['thumbs up'],"Literature, Lectures, Comedy, Poetry"
2,User_ID1,c1bc4f9ea142caddf3ecc7c94141f929,['thumbs down'],"Concert, Concert Band"
3,User_ID1,ee67507c5df71fd885d5e119391295d7,['thumbs down'],"Rock and Roll, Blues, Pop, Jazz, Music Festival"
4,User_ID1,2122b8a4800410b30d6b374c92ffe63d,['thumbs up'],"Opera, Musicals, Broadway"
5,User_ID1,967ef2e976ac6f69a4eab67a85f7c36b,['thumbs up'],"Orchestra, Classical, Chamber Music"
6,User_ID1,ca945271233da699797ea868c0e729a9,['thumbs up'],"Orchestra, Classical, Chamber Music"
7,User_ID1,f007f18a404660855aa55b50e984d1b8,['thumbs down'],"Vocals, Recitals, Choir"
8,User_ID1,3187640fd609e27d6be9a287bd0cd193,['thumbs up'],Symphony
9,User_ID1,3fdb09674ba309ed818343315bad3689,['thumbs up'],"History Musuem, Sites"
10,User_ID2,3e368f3b194d0917983fa17d755f5b53,['thumbs down'],"History Musuem, Sites"
11,User_ID2,3e368f3b194d0917983fa17d755f5b53,['thumbs down'],"Literature, Lectures, Comedy, Poetry"
12,User_ID2,97bfb44cc8f3b1be10054e9da1289f38,['thumbs up'],"History Musuem, Sites"
13,User_ID2,79cc15b7a4284ebadc705a6f082b8ac0,['thumbs down'],"Orchestra, Classical, Chamber Music"
14,User_ID2,65a3387cb7b1972aacfadfb15d957338,['neutral'],"Opera, Musicals, Broadway"
15,User_ID2,e164286be7f8db8460677a3811935d97,['thumbs down'],Symphony
16,User_ID2,b4bec6985cfa4928ff1898f34774aa35,['thumbs up'],"Art Musuem, Gallery, Sculpture"
17,User_ID2,f798cf945df3c3fd2d8fc1df821e8c1a,['thumbs up'],"Literature, Lectures, Comedy, Poetry"
18,User_ID2,93fbdb91dbbb241c706203da7fa4c08b,['thumbs up'],"Art Musuem, Gallery, Sculpture"
19,User_ID2,44e7c5199ff64925971d8a72b4f3a81d,['thumbs up'],"Vocals, Recitals, Choir"
20,User_ID3,a6363497296600ae1cd07cd1ba8ccee3,['neutral'],"Concert, Concert Band"
21,User_ID3,fd33b0be7e67ce5b4fcfe08df71ba78d,['thumbs up'],Symphony
